,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY
16,18615198,06/19/2018 03:00:00 AM,GRAND THEFT AUTO,91,"1300 HARPER AVE, WEST HOLLYWOOD, CA",-118.368,34.095,1
101,18542039,04/08/2018 09:35:00 PM,AGGRAVATED ASSAULT,54,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.08,1
185,18700869,09/18/2018 10:00:00 AM,VANDALISM,263,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.351,34.092,2
186,18695878,09/12/2018 06:30:00 AM,LARCENY THEFT,386,"1000 CROFT AVE, WEST HOLLYWOOD, CA  90046",-118.374,34.089,1
187,18700046,09/17/2018 11:00:00 AM,LARCENY THEFT,389,"500 N LA CIENEGA BLVD, WEST HOLLYWOOD, CA  90048",-118.376,34.08,1
188,18702055,09/19/2018 10:30:00 AM,NON-AGGRAVATED ASSAULTS,144,"8600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.379,34.087,2
222,18495178,02/20/2018 01:08:00 AM,FELONIES MISCELLANEOUS,339,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.351,34.092,2
253,18495148,02/19/2018 10:30:00 PM,NARCOTICS,188,"SANTA MONICA BLVD AND WEST KNOLL DR, WEST HOLLYWOOD, CA",-118.377,34.088,2
336,18757235,11/15/2018 05:30:00 PM,LARCENY THEFT,340,"8400 MELROSE AVE, WEST HOLLYWOOD, CA",-118.374,34.082,1
347,18783479,12/16/2018 04:00:00 AM,DRUNK / ALCOHOL / DRUGS,201,"SAN VICENTE BLVD AND RANGELY AVE, WEST HOLLYWOOD, CA",-118.382,34.08,2
351,18536166,04/02/2018 03:30:00 PM,NARCOTICS,185,"600 ORLANDO AVE, WEST HOLLYWOOD, CA  90048",-118.373,34.082,2
359,18484859,02/10/2018 04:00:00 AM,NARCOTICS,185,"8100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.366,34.09,2
384,18606814,06/10/2018 09:00:00 PM,NON-AGGRAVATED ASSAULTS,144,"600 SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.081,2
479,18625790,06/30/2018 12:45:00 AM,LARCENY THEFT,340,"1000 FAIRFAX AVE, WEST HOLLYWOOD, CA  90046",-118.361,34.089,1
497,18648074,07/24/2018 11:00:00 AM,NON-AGGRAVATED ASSAULTS,146,"8500 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.376,34.094,2
499,18527260,03/23/2018 06:17:44 PM,NARCOTICS,185,"CURSON AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.355,34.09,2
501,18530188,03/27/2018 01:00:00 PM,NARCOTICS,185,"1000 FULLER AVE, WEST HOLLYWOOD, CA",-118.35,34.09,2
540,18736567,10/24/2018 09:45:00 PM,NARCOTICS,181,"CYNTHIA ST AND SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.087,2
726,18767257,11/28/2018 01:16:00 PM,NARCOTICS,181,"FULLER AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.35,34.09,2
736,18749986,11/07/2018 11:40:00 PM,NARCOTICS,181,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,2
737,18620008,06/24/2018 09:55:00 AM,NARCOTICS,185,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.351,34.092,2
740,18598709,06/03/2018 03:39:00 AM,NARCOTICS,185,"1000 HAVENHURST DR, WEST HOLLYWOOD, CA",-118.367,34.089,2
742,18668923,08/15/2018 11:45:00 PM,NARCOTICS,181,"7700 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.356,34.09,2
780,18527259,03/23/2018 06:15:00 PM,NARCOTICS,184,"1100 DETROIT ST, WEST HOLLYWOOD, CA  90046",-118.345,34.092,2
822,18614830,06/19/2018 10:36:02 AM,FELONIES MISCELLANEOUS,330,"8700 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.381,34.091,2
